team,year,name,id
detroit-pistons,2018,Khyri Thomas,27004
golden-state-warriors,2018,Stephen Curry,6287
golden-state-warriors,2018,Kevin Durant,2717
golden-state-warriors,2018,Klay Thompson,8062
golden-state-warriors,2018,Draymond Green,10860
golden-state-warriors,2018,Andre Iguodala,2652
golden-state-warriors,2018,Shaun Livingston,2477
golden-state-warriors,2018,DeMarcus Cousins,6886
golden-state-warriors,2018,Jacob Evans,26994
golden-state-warriors,2018,Quinn Cook,18264
golden-state-warriors,2018,Damian Jones,20235
golden-state-warriors,2018,Jonas Jerebko,6285
golden-state-warriors,2018,Kevon Looney,17858
golden-state-warriors,2018,Jordan Bell,23633
golden-state-warriors,2018,Alfonzo McKinnie,24106
golden-state-warriors,2018,Andrew Bogut,2560
houston-rockets,2018,Chris Paul,2609
houston-rockets,2018,James Harden,6312
houston-rockets,2018,Clint Capela,15377
houston-rockets,2018,Eric Gordon,6116
houston-rockets,2018,Iman Shumpert,8068
houston-rockets,2018,P.J. Tucker,11059
houston-rockets,2018,Nene Hilario,6103
houston-rockets,2018,Gerald Green,6100
houston-rockets,2018,Austin Rivers,10818
houston-rockets,2018,Isaiah Hartenstein,23644
houston-rockets,2018,Kenneth Faried,8073
houston-rockets,2018,Gary Clark,27627
houston-rockets,2018,Danuel House,20800
houston-rockets,2018,Chris Chiozza,28033
houston-rockets,2018,Michael Frazier,18144
indiana-pacers,2018,Victor Oladipo,13315
indiana-pacers,2018,Thaddeus Young,2658
indiana-pacers,2018,Tyreke Evans,6326
indiana-pacers,2018,Bojan Bogdanovic,8083
indiana-pacers,2018,Darren Collison,6307
indiana-pacers,2018,Cory Joseph,8080
indiana-pacers,2018,Doug McDermott,15363
indiana-pacers,2018,Kyle O'Quinn,10874
indiana-pacers,2018,Myles Turner,17839
indiana-pacers,2018,Domantas Sabonis,20216
indiana-pacers,2018,TJ Leaf,23613
indiana-pacers,2018,Aaron Holiday,26989
indiana-pacers,2018,Alize Johnson,27016
indiana-pacers,2018,Wesley Matthews,6489
indiana-pacers,2018,Edmond Sumner,23653
los-angeles-clippers,2018,Danilo Gallinari,6138
los-angeles-clippers,2018,Wilson Chandler,2616
los-angeles-clippers,2018,Garrett Temple,6492
los-angeles-clippers,2018,Louis Williams,2657
los-angeles-clippers,2018,JaMychal Green,11666
los-angeles-clippers,2018,Montrezl Harrell,17860
los-angeles-clippers,2018,Patrick Beverley,6297
los-angeles-clippers,2018,Shai Gilgeous-Alexander,26977
los-angeles-clippers,2018,Jerome Robinson,26979
los-angeles-clippers,2018,Landry Shamet,26992
los-angeles-clippers,2018,Rodney McGruder,13575
los-angeles-clippers,2018,Ivica Zubac,20238
los-angeles-clippers,2018,Sindarius Thornwell,23649
los-angeles-clippers,2018,Tyrone Wallace,20266
los-angeles-clippers,2018,Angel Delgado,27637
los-angeles-lakers,2018,LeBron James,2257
los-angeles-lakers,2018,Kentavious Caldwell-Pope,13321
los-angeles-lakers,2018,Rajon Rondo,2222
los-angeles-lakers,2018,Lonzo Ball,23597
los-angeles-lakers,2018,Brandon Ingram,20207
los-angeles-lakers,2018,Mike Muscala,13357
los-angeles-lakers,2018,Lance Stephenson,6922
los-angeles-lakers,2018,Reggie Bullock,13338
los-angeles-lakers,2018,Moritz Wagner,26991
los-angeles-lakers,2018,Kyle Kuzma,23622
los-angeles-lakers,2018,Josh Hart,23625
los-angeles-lakers,2018,JaVale McGee,6159
los-angeles-lakers,2018,Tyson Chandler,2605
los-angeles-lakers,2018,Isaac Bonga,27005
los-angeles-lakers,2018,Jermerrio Jones,28921
memphis-grizzlies,2018,Mike Conley,2532
memphis-grizzlies,2018,Chandler Parsons,8090
memphis-grizzlies,2018,Jonas Valanciunas,8055
memphis-grizzlies,2018,Avery Bradley,6901
memphis-grizzlies,2018,Kyle Anderson,15382
memphis-grizzlies,2018,C.J. Miles,2753
memphis-grizzlies,2018,Jaren Jackson Jr.,26970
memphis-grizzlies,2018,Justin Holiday,11441
memphis-grizzlies,2018,Delon Wright,17848
memphis-grizzlies,2018,Dillon Brooks,23646
memphis-grizzlies,2018,Tyler Dorsey,23642
memphis-grizzlies,2018,Ivan Rabb,23630
memphis-grizzlies,2018,Joakim Noah,2248
memphis-grizzlies,2018,Jevon Carter,26998
memphis-grizzlies,2018,Bruno Caboclo,15372
miami-heat,2018,Hassan Whiteside,6915
miami-heat,2018,Ryan Anderson,6133
miami-heat,2018,Goran Dragic,6146
miami-heat,2018,James Johnson,6279
miami-heat,2018,Kelly Olynyk,13326
miami-heat,2018,Dion Waiters,10812
miami-heat,2018,Josh Richardson,17868
miami-heat,2018,Justise Winslow,17838
miami-heat,2018,Edrice Adebayo,23609
miami-heat,2018,Udonis Haslem,2549
miami-heat,2018,Dwyane Wade,2556
miami-heat,2018,Derrick Jones Jr.,21067
miami-heat,2018,Yante Maten,27815
miami-heat,2018,Duncan Robinson,27658
miami-heat,2018,Kendrick Nunn,28041
milwaukee-bucks,2018,Giannis Antetokounmpo,13328
milwaukee-bucks,2018,George Hill,6154
milwaukee-bucks,2018,Eric Bledsoe,6900
milwaukee-bucks,2018,Khris Middleton,10864
milwaukee-bucks,2018,Nikola Mirotic,8074
milwaukee-bucks,2018,Tony Snell,13333
milwaukee-bucks,2018,Ersan Ilyasova,6341
milwaukee-bucks,2018,Brook Lopez,6136
milwaukee-bucks,2018,DJ Wilson,23612
milwaukee-bucks,2018,Donte DiVincenzo,26983
milwaukee-bucks,2018,Pat Connaughton,17869
milwaukee-bucks,2018,Malcolm Brogdon,20242
milwaukee-bucks,2018,Sterling Brown,23647
milwaukee-bucks,2018,Pau Gasol,2518
milwaukee-bucks,2018,Tim Frazier,15755
minnesota-timberwolves,2018,Andrew Wiggins,15353
minnesota-timberwolves,2018,Jeff Teague,6272
minnesota-timberwolves,2018,Gorgui Dieng,13334
minnesota-timberwolves,2018,Taj Gibson,6278
minnesota-timberwolves,2018,Robert Covington,13379
minnesota-timberwolves,2018,Jerryd Bayless,6150
minnesota-timberwolves,2018,Karl-Anthony Towns,17829
minnesota-timberwolves,2018,Anthony Tolliver,6483
minnesota-timberwolves,2018,Dario Saric,15364
minnesota-timberwolves,2018,Tyus Jones,17852
minnesota-timberwolves,2018,Josh Okogie,26986
minnesota-timberwolves,2018,Luol Deng,2240
minnesota-timberwolves,2018,Derrick Rose,6095
minnesota-timberwolves,2018,Keita Bates-Diop,27014
minnesota-timberwolves,2018,Cam Reynolds,28061
new-orleans-pelicans,2018,Jrue Holiday,6316
new-orleans-pelicans,2018,Anthony Davis,10809
new-orleans-pelicans,2018,Solomon Hill,13336
new-orleans-pelicans,2018,E'Twaun Moore,8107
new-orleans-pelicans,2018,Julius Randle,15359
new-orleans-pelicans,2018,Stanley Johnson,17836
new-orleans-pelicans,2018,Elfrid Payton,15362
new-orleans-pelicans,2018,Darius Miller,10871
new-orleans-pelicans,2018,Jahlil Okafor,17831
new-orleans-pelicans,2018,Cheick Diallo,20239
new-orleans-pelicans,2018,Ian Clark,13442
